Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"075-0261",4U : Urban Minor Arterial,31.140957,-83.433991,2025,4120,Estimated,168,53,0.662,0.098,0.1118,0.53,5190,Short Term
"075-0263",5U : Urban Major Collector,31.151570,-83.434477,2025,3640,Estimated,233,51,1.028,0.167,0.1847,0.57,5160,Short Term
"075-0265",5R : Rural Major Collector,31.188057,-83.503713,2025,450,Estimated,52,14,0.677,0.677,0.1287,0.63,570,Short Term
"075-0267",5R : Rural Major Collector,31.176431,-83.461663,2025,620,Estimated,,,,,0.1111,0.54,780,Short Term
"075-0272",4U : Urban Minor Arterial,31.166761,-83.446316,2025,3000,Estimated,144,92,0.438,0.101,0.1224,0.54,3780,Short Term
"075-0278",6R : Rural Minor Collector,31.227565,-83.483712,2025,530,Estimated,42,34,1.533,0.192,0.1245,0.62,740,Short Term
"075-0281",5R : Rural Major Collector,31.213250,-83.434953,2025,600,Estimated,,,,,0.1349,0.67,760,Short Term
"075-0283",5R : Rural Major Collector,31.214244,-83.383782,2025,490,Estimated,36,11,1.025,0.205,0.1086,0.55,860,Short Term
"075-0285",5R : Rural Major Collector,31.126309,-83.455974,2025,320,Estimated,,,,,0.1521,0.54,400,Short Term
"075-0287",6R : Rural Minor Collector,31.160480,-83.375810,2025,780,Estimated,27,9,0.388,0,0.1253,0.58,1500,Short Term
"075-0289",5R : Rural Major Collector,31.157544,-83.458119,2025,1040,Actual,,,,,0.1179,0.51,1910,Short Term
"075-0291",5R : Rural Major Collector,31.152439,-83.406764,2025,630,Estimated,37,9,0.484,0.161,0.1419,0.56,1040,Short Term
"075-0295",5R : Rural Major Collector,31.166419,-83.417696,2025,1160,Estimated,61,1,3.397,0,0.277,0.53,2310,Short Term
"075-0297",5R : Rural Major Collector,31.037944,-83.329303,2025,1350,Estimated,,,,,0.1088,0.63,1700,Short Term
"075-0299",5U : Urban Major Collector,31.138879,-83.423009,2025,1370,Estimated,93,7,2.291,0,0.1486,0.66,1730,Short Term
"075-0301",4U : Urban Minor Arterial,31.133235,-83.418435,2025,1310,Estimated,,,,,0.117,0.63,1650,Short Term
"075-0303",5U : Urban Major Collector,31.143231,-83.421876,2025,570,Estimated,17,1,0.536,0.179,0.1196,0.57,730,Short Term
"075-0305",5U : Urban Major Collector,31.134871,-83.426325,2025,1500,Estimated,,,,,0.1226,0.58,1890,Short Term
"075-0307",5U : Urban Major Collector,31.139524,-83.429586,2025,1170,Estimated,,,,,0.1249,0.52,1470,Short Term
"075-0309",4U : Urban Minor Arterial,31.128593,-83.429238,2025,880,Estimated,,,,,0.1036,0.52,1110,Short Term
"075-0311",4U : Urban Minor Arterial,31.125663,-83.416542,2025,1150,Estimated,25,5,0.159,0.159,0.1221,0.63,1450,Short Term
"075-0313",4U : Urban Minor Arterial,31.148981,-83.439578,2025,960,Estimated,160,12,1.48,0.106,0.13,0.53,1210,Short Term
"075-7142",5R : Rural Major Collector,31.139556,-83.447617,2025,90,Estimated,,,,,0.158,0.71,190,Short Term
"075-8003",7U : Urban Local,31.111983,-83.419709,2025,950,Estimated,,,,,0.0865,0.57,1200,Short Term
"075-8019",7R : Rural Local,31.264094,-83.453266,2025,120,Estimated,1,0,0,0,0.2583,0.52,150,Short Term
"075-8021",7U : Urban Local,31.139787,-83.421752,2025,400,Estimated,,,,,0.1284,0.62,500,Short Term
"075-8025",7U : Urban Local,31.128203,-83.415727,2025,50,Estimated,5,0,4.082,0,0.1633,0.5,60,Short Term
"075-8027",7U : Urban Local,31.136841,-83.429263,2025,930,Estimated,,,,,0.1058,0.5,1220,Short Term
"075-8034",7R : Rural Local,31.122162,-83.519517,2025,390,Estimated,53,29,0.939,0,0.1192,0.71,610,Short Term
"075-8035",7R : Rural Local,31.121706,-83.542354,2025,220,Estimated,28,19,1.294,0.862,0.1483,0.57,280,Short Term
"075-8038",7R : Rural Local,31.029367,-83.305255,2025,960,Estimated,46,20,0.424,0.318,0.1112,0.69,1210,Short Term
"075-8039",7R : Rural Local,31.056397,-83.350988,2025,210,Estimated,22,5,0.493,0,0.1084,0.55,270,Short Term
"075-8040",6R : Rural Minor Collector,31.061143,-83.374851,2025,960,Estimated,56,21,0.633,0.211,0.1203,0.61,1760,Short Term
"075-8041",6R : Rural Minor Collector,31.092381,-83.322026,2025,880,Estimated,58,21,0.686,0,0.1087,0.56,1520,Short Term
"075-8042",6R : Rural Minor Collector,31.107308,-83.339875,2025,420,Estimated,26,12,0.973,0.487,0.1411,0.72,530,Short Term
"075-8043",7R : Rural Local,31.283839,-83.454983,2025,220,Estimated,14,3,0.438,0,0.1214,0.57,280,Short Term
"075-8044",7R : Rural Local,31.253877,-83.438011,2025,240,Estimated,16,2,0.851,0,0.1489,0.83,300,Short Term
